rating,star,title,quote,writer,director,link,year,genre
9.2,"理查·基尔,萨拉·罗默尔,琼·艾伦",忠犬八公的故事 Hachi: A Dog's Tale,永远都不能忘记你所爱的人。,"Stephen P. Lindsey,新藤兼人",莱塞·霍尔斯道姆,http://www.imdb.com/title/tt1028532,2009,剧情
9.2,"杰拉尔·朱诺,弗朗西斯·贝尔兰德,凯德·麦拉德",放牛班的春天 Les choristes,天籁一般的童声，是最接近上帝的存在。 ,"克里斯托夫·巴拉蒂,Philippe Lopes-Curval",克里斯托夫·巴拉蒂,http://www.imdb.com/title/tt0372824,2004,"剧情,音乐,儿童"
9.1,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",泰坦尼克号 Titanic,失去的才是永恒的。 ,詹姆斯·卡梅隆,詹姆斯·卡梅隆,"http://www.titanicmovie.com,http://www.imdb.com/title/tt0120338",1997,"剧情,爱情,灾难"
9.2,"莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾伦·佩吉",盗梦空间 Inception,诺兰给了我们一场无法盗取的梦。,克里斯托弗·诺兰,克里斯托弗·诺兰,"http://www.imdb.com/title/tt1375666,https://site.douban.com/106310/",2010,"剧情,动作,科幻,悬疑,冒险"
9.1,"阿米尔·汗,卡琳娜·卡普尔,马达范",三傻大闹宝莱坞 3 Idiots,英俊版憨豆，高情商版谢耳朵。,"Vidhu Vinod Chopra,拉吉库马尔·希拉尼,阿西奇·乔希",拉吉库马尔·希拉尼,http://www.imdb.com/title/tt1187043,2009,"剧情,喜剧,爱情,歌舞"
9.2,"蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩",海上钢琴师 La leggenda del pianista sull'oceano,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,"亚利桑德罗·巴里克,朱塞佩·托纳多雷",朱塞佩·托纳多雷,http://www.imdb.com/title/tt0120731,1998,"剧情,音乐"
9.4,"连姆·尼森,本·金斯利,拉尔夫·费因斯",辛德勒的名单 Schindler's List,拯救一个人，就是拯救整个世界。,"托马斯·肯尼利,斯蒂文·泽里安",史蒂文·斯皮尔伯格,http://www.imdb.com/title/tt0108052,1993,"剧情,历史,战争"
9.2,"柊瑠美,入野自由,夏木真理",千与千寻 千と千尋の神隠し,最好的宫崎骏，最好的久石让。 ,宫崎骏,宫崎骏,http://www.imdb.com/title/tt0245429,2001,"剧情,动画,奇幻"
9.3,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",机器人总动员 WALL·E,小瓦力，大人生。,"安德鲁·斯坦顿,吉姆·里尔顿,彼特·道格特",安德鲁·斯坦顿,"http://www.pixar.com/features_films/WALLE,http://www.imdb.com/title/tt0910970",2008,"喜剧,爱情,科幻,动画,冒险"
9.5,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",美丽人生 La vita è bella,最美的谎言。,"文森佐·克拉米,罗伯托·贝尼尼",罗伯托·贝尼尼,http://www.imdb.com/title/tt0118799,1997,"剧情,喜剧,爱情"
